function	ALC_19	ALC_20	CIR_18	CIR_19	ERR844085	ERR844086	IL_18	Met9_18	My_20	PR9_18	Pty_20	SRR2029458	SRR2029459	SRR2029460	SRR2071024	SRR2071075	SRR7135742	SRR7135743	V3_20	VT_20
RXN-11588	11212.75	33415.67	7026.0	23029.5	50714.83	288.67	6371.75	7290.83	23979.33	6048.5	31551.17	27170.36	24859.17	27295.85	273766.49	692854.14	96258.38	76774.75	22756.14	581.4
RXN-11589	168.75	10645.0	31.0	32.0	11300.0	39.0	1748.5	2393.0	0.0	3210.0	5486.0	371.19	413.0	1196.94	26297.5	62763.76	7212.0	15417.5	209.0	0.0
RXN-11591	12435.75	38114.67	13445.5	44660.0	54029.67	374.67	9442.25	10342.33	43513.66	7233.5	56807.34	50439.3	45760.17	49153.21	388316.74	923454.98	89799.38	108875.59	18858.31	667.4
RXN-11592	10523.75	27651.67	7000.0	22996.5	32422.67	144.0	6205.75	7013.83	23975.33	5415.0	31530.17	26479.19	24526.5	26788.35	250063.55	632365.8	78752.63	70691.25	21883.51	581.4
RXN-11593	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.0	13.0	87.0	257.0	743.38	4.0	0.0	77.5	0.0
RXN-11596	55.0	0.0	6087.0	21071.0	0.0	36.0	0.0	0.0	5.0	0.0	15188.0	11295.0	12109.0	13564.0	5494.34	25783.71	1711.0	5142.0	17.0	0.0
RXN-11597	0.0	0.0	0.0	0.0	216.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	7.5	4009.0	7036.0	165.0	5.0	0.0	0.0
RXN-11598	11235.75	33409.67	7026.0	23032.5	50547.67	288.67	6464.75	7367.83	23979.33	6042.5	31570.17	27188.36	24859.17	27236.85	315117.66	826721.16	99010.72	83265.59	22821.72	45740.4
RXN-11600	17.0	0.0	0.0	0.0	265.0	26.0	0.0	0.0	0.0	0.0	0.0	47.0	54.0	28.5	0.0	529.38	65.0	7.0	15.0	0.0
RXN-11601	10968.75	30223.67	7026.0	23032.5	47130.0	211.67	6464.75	7287.83	23979.33	5513.5	31553.17	26534.86	24818.17	27670.35	293994.71	775583.65	83953.21	76774.08	22664.91	45740.4
RXN-11602	8319.25	30875.17	781.0	2489.0	27775.67	223.67	7235.5	5248.83	12794.33	5572.0	14169.67	3345.86	6650.84	7496.85	301485.72	922019.12	96547.39	80867.84	22965.38	90428.4
RXN-11615	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	0.0	94.0	1038.0	341.0	0.0	0.0	0.0	0.0
RXN-11618	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	159.0	622.5	313.05	148.0	0.0	0.0	0.0
RXN-11620	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	159.0	622.5	313.05	148.0	0.0	0.0	0.0
RXN-11627	0.0	0.0	0.0	0.0	33.67	57812.0	0.0	0.0	0.0	0.0	0.0	168.0	1051.0	1090.0	3559.33	8645.01	1062.33	238.33	42.0	0.0
RXN-11633	11235.75	33409.67	7026.0	23032.5	50558.67	58283.67	6464.75	7367.83	23979.33	6042.5	31570.17	27188.36	24859.17	27413.85	315530.49	830303.16	99072.72	83282.59	22869.72	45740.4
RXN-11635	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.0	13.0	21.0	49.5	560.83	11.0	0.0	6.0	0.0
RXN-11637	12046.25	32886.67	13486.0	45448.5	50847.33	315.67	9713.75	7962.33	30620.33	6289.5	54026.17	38970.36	37116.34	42331.93	351355.58	966907.72	128735.38	99663.25	30442.89	45826.4
RXN-11638	11235.75	33688.67	7026.0	23032.5	50554.68	288.67	6464.75	7367.83	23979.33	6042.5	31570.17	27188.36	24859.17	27413.85	316680.83	830025.68	99734.06	84590.43	22900.05	45740.4
RXN-11647	0.0	27.0	0.0	0.0	229.0	0.0	1367.0	13.0	0.0	72.0	457.0	416.0	447.0	101.0	16432.33	20727.34	2372.0	1098.5	133.0	0.0
RXN-11652	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0
RXN-11653	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0
RXN-11662	4354.5	31135.17	1933.5	2764.5	19672.5	58418.68	12439.0	9970.33	36382.33	8610.5	41786.17	18812.5	18716.67	20251.82	257616.44	599726.46	59191.33	81312.33	6488.56	691.8
RXN-11674	19.0	18.0	0.0	0.0	4.67	0.0	0.0	13.0	0.0	6.0	0.0	479.0	16.0	0.0	282.0	755.5	0.0	38.0	0.0	0.0
RXN-11689	19.0	8.0	0.0	17.0	203.34	0.0	0.0	37.0	135.0	0.0	6224.0	170.44	245.0	65.44	2650.67	6167.52	700.84	3588.34	2.33	48.8
RXN-11690	19.0	8.0	0.0	17.0	83.0	0.0	17.0	37.0	135.0	0.0	6224.0	613.0	563.5	595.0	7.0	296.0	268.0	2810.0	0.0	0.0
RXN-11691	38.0	16.0	0.0	34.0	0.0	74.0	0.0	74.0	0.0	0.0	12392.0	332.0	806.0	616.0	14.0	14.0	144.0	5586.0	0.0	48.8
RXN-11696	0.0	0.0	0.0	0.0	463.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1780.5	2794.0	9.5	97.0	115.0	0.0
RXN-11698	9879.5	13065.17	6375.5	21449.5	3892.17	43.67	2693.0	2838.33	17438.0	1515.5	24547.0	23248.17	20794.67	20775.33	81069.0	202287.18	31860.25	44117.51	7828.62	45245.0
